Max,Minima
171.6004593,157.6011149
218.4064372,179.1354329
212.001308,176.6473915
150.621913,142.1272014
182.0458445,166.8100892
252.0014608,174.685365
207.3660119,166.8772736
211.0198917,178.1405171
192.8261008,159.6760739
209.1209789,165.0944129
159.4682869,149.753433
174.9607892,148.6935835
245.0616145,181.270814
178.3318612,161.8452826
180.8516416,150.5085883
217.7035405,178.7436696
268.7334061,177.5171026
162.5423665,150.5913376
184.5586264,172.0700782
160.7885402,140.1269971
197.7493293,154.1276935
171.4139181,163.2894909
181.1128035,160.7334111
155.5244654,145.9668541
195.6260944,171.2369212
200.0149435,175.1989602
165.8748785,154.5383989
245.6870043,186.766185
199.871564,174.2045856
199.871564,174.2045856
186.1343846,179.5879306
171.5756846,160.0004593
209.254241,178.4119758
187.9213433,163.5523125
201.1707149,161.8450674
274.0899557,159.1548316
335.2331236,158.4518261
226.2975953,168.5210149
203.1667102,169.0360471
211.4284929,155.130556
185.9381952,166.4070408
218.1474186,172.2084684
219.019692,158.782759
212.2539646,164.8271679
166.1892574,149.8125577
215.9797636,173.6397961
261.9660433,186.7393013
327.6884499,164.8969335
206.5731423,165.1844503
210.8405502,171.9463168
260.1387566,158.8032534
194.8739099,160.7194578
204.5848175,155.1888339
203.9629869,154.8169312
188.7004202,155.5268228
158.2931088,146.0905462
292.6580126,190.0161027
189.4643724,172.8326327
471.9263756,166.6610331
213.6957411,172.9754922
191.9441161,163.1597483
191.9441161,163.1597483
217.923528,180.4156149
206.361915,183.5128074
296.9239225,156.1658627
165.0105025,150.1296246
197.180904,172.109235
201.7141078,166.8201059
202.6573841,173.7444889
237.835373,174.4875454
187.233959,168.8197437
185.0889002,159.3630642
198.5348886,186.276993
267.0861017,171.5552523
196.9810139,167.6390895
208.7011937,187.5936889
247.8914507,161.5352234
313.599852,194.4691969
278.2998007,165.2305911
182.2368683,137.2307315
222.9588447,165.705449
298.6046853,153.0935473
181.0917595,160.6277437
229.1430233,174.1509228
178.3584075,164.274856
184.2002191,141.9003144
202.3887854,164.9693141
197.3935792,173.8684827
196.5946114,166.2041016
192.0663325,163.8825708
233.9487601,169.2440608
188.5422709,165.5338807
215.1998444,182.5400393
240.053519,185.0801966
213.4550796,169.8688709
253.6434046,200.6972475
198.7543507,171.1709723
227.3765469,171.4589968
231.7662401,172.6548026
249.7494208,193.6459079
214.7537751,183.719631
187.4859396,166.6000872
176.4446352,167.7863651
203.58827,174.4728802
185.1243414,154.9462442
193.118404,153.0860838
199.1030971,152.3032811
188.6016286,169.674099
176.3176533,160.3648942
258.7368074,177.9144744
214.1090823,141.7257401
210.6904611,177.6871081
224.0983269,191.3174902
187.8610674,157.3497931
172.6798977,147.2677719
179.0840001,153.4480906
210.2647203,177.513131
231.9552265,166.1214063
187.4541321,165.2449859
213.2550257,159.7802023
249.8625887,170.3727612
241.0783662,168.950355
176.2725328,146.2916063
247.6366126,194.6127055
179.8290716,168.6604499
199.4170171,164.2770198
210.8221254,156.0082473
271.9957884,173.5704431
225.1296035,167.391538
212.5885947,168.0012251
232.501175,181.8252385
211.46479,145.0804182
209.9671512,138.9272694